# year, Ptot_c_result_anom
2012.0409836065573,-5.4364843
2012.122950819672,-3.5362875
2012.204918032787,-2.020857
2012.2868852459017,-0.32426095
2012.3715846994535,0.37345266
2012.4535519125684,-2.8534436
2012.5382513661202,-4.3976507
2012.622950819672,-8.691034
2012.704918032787,-9.6901455
2012.7896174863388,-10.894001
2012.8715846994535,-10.867659
2012.9562841530055,-8.5229225
2013.041095890411,-4.422528
2013.1205479452055,-3.1832118
2013.2027397260274,-1.4267457
2013.2849315068493,-0.103847265
2013.3698630136987,-0.82569456
2013.4520547945206,-4.394701
2013.5369863013698,-3.2944937
2013.6219178082192,-8.508308
2013.704109589041,-15.101105
2013.7890410958903,-15.516641
2013.8712328767124,-10.7506485
2013.9561643835616,-7.7466965
2014.041095890411,-3.7572365
2014.1205479452055,-2.2282662
2014.2027397260274,-1.0388253
2014.2849315068493,0.23069024
2014.3698630136987,0.6765199
2014.4520547945206,-3.6638756
2014.5369863013698,-6.1632223
2014.6219178082192,-8.5577965
2014.704109589041,-12.373962
2014.7890410958903,-7.0495243
2014.8712328767124,-3.936697
2014.9561643835616,-2.2581968
2015.041095890411,-0.52087116
2015.1205479452055,-0.70121574
2015.2027397260274,-0.59003925
2015.2849315068493,-0.51065683
2015.3698630136987,-1.0170231
2015.4520547945206,-4.1129837
2015.5369863013698,-5.745283
2015.6219178082192,-9.463154
2015.704109589041,-10.102415
2015.7890410958903,-14.158268
2015.8712328767124,-12.454707
2015.9561643835616,-7.7965784
2016.0409836065573,-4.0969195
2016.122950819672,-2.166438
2016.204918032787,-0.63969946
2016.2868852459017,0.130023
2016.3715846994535,0.12977457
2016.4535519125684,-3.4307656
2016.5382513661202,-5.634163
2016.622950819672,-6.430558
2016.704918032787,-11.111107
2016.7896174863388,-12.474966
2016.8715846994535,-10.27762
2016.9562841530055,-7.4681463
2017.041095890411,-3.3945909
2017.1205479452055,-1.9208779
2017.2027397260274,-1.3151209
2017.2849315068493,-0.7110975
2017.3698630136987,-0.20447874
2017.4520547945206,-2.233079
2017.5369863013698,-2.1737528
2017.6219178082192,-1.0197144
2017.704109589041,-6.097883
2017.7890410958903,-8.863142
2017.8712328767124,-11.104687
2017.9561643835616,-8.193368
2018.041095890411,-4.3230085
2018.1205479452055,-2.8361912
2018.2027397260274,-1.5767124
2018.2849315068493,0.13498211
2018.3698630136987,-0.06991291
2018.4520547945206,-3.4568772
2018.5369863013698,-2.798418
