# year, thetao_con
2046.3013698630136,29.121418
2046.304109589041,28.947739
2046.3068493150686,28.904238
2046.309589041096,28.832726
2046.3123287671233,28.873455
2046.3150684931506,29.156582
2046.317808219178,29.208143
2046.3205479452056,29.248186
2046.323287671233,29.143175
2046.3260273972603,29.107304
2046.3287671232877,29.13672
2046.331506849315,29.09699
2046.3342465753424,28.952307
2046.33698630137,29.00495
2046.3397260273973,28.863
2046.3424657534247,28.854124
2046.345205479452,28.84172
2046.3479452054794,28.782913
2046.3506849315067,28.756748
2046.3534246575343,28.719273
2046.3561643835617,28.736647
2046.358904109589,28.631561
2046.3616438356164,28.650145
2046.3643835616438,28.576712
2046.3671232876711,28.499405
2046.3698630136987,28.382229
2046.372602739726,28.387478
2046.3753424657534,28.284176
2046.3780821917808,28.17235
2046.3808219178081,28.090296
2046.3835616438357,28.014597
2046.386301369863,27.898827
2046.3890410958904,27.846079
2046.3917808219178,27.76015
2046.3945205479451,27.644197
2046.3972602739725,27.575224
2046.4,27.510956
2046.4027397260274,27.52302
2046.4054794520548,27.525509
2046.4082191780822,27.4973
2046.4109589041095,27.43462
2046.4136986301369,27.395067
2046.4164383561645,27.355095
2046.4191780821918,27.330284
2046.4219178082192,27.30286
2046.4246575342465,27.28276
2046.427397260274,27.260677
2046.4301369863015,27.22651
2046.4328767123288,27.180914
2046.4356164383562,27.124672
2046.4383561643835,27.085674
2046.441095890411,27.046457
2046.4438356164383,27.018217
2046.4465753424658,26.95991
2046.4493150684932,26.91207
2046.4520547945206,26.900795
2046.454794520548,26.87662
2046.4575342465753,26.835926
2046.4602739726026,26.78838
2046.4630136986302,26.755873
2046.4657534246576,26.730398
2046.468493150685,26.702452
2046.4712328767123,26.668095
2046.4739726027397,26.615519
2046.4767123287672,26.557304
2046.4794520547946,26.521885
2046.482191780822,26.499989
2046.4849315068493,26.477997
2046.4876712328767,26.450619
2046.490410958904,26.420315
2046.4931506849316,26.388584
2046.495890410959,26.344757
2046.4986301369863,26.296698
2046.5013698630137,26.263847
2046.504109589041,26.23445
2046.5068493150684,26.193222
2046.509589041096,26.14001
2046.5123287671233,26.08046
2046.5150684931507,26.004873
2046.517808219178,25.94885
2046.5205479452054,25.885866
2046.5232876712328,25.809189
2046.5260273972603,25.772018
2046.5287671232877,25.732178
2046.531506849315,25.710732
2046.5342465753424,25.695122
2046.5369863013698,25.683077
2046.5397260273974,25.641222
2046.5424657534247,25.606775
2046.545205479452,25.577202
2046.5479452054794,25.540888
2046.5506849315068,25.50388
2046.5534246575342,25.467005
2046.5561643835617,25.444513
2046.558904109589,25.414505
2046.5616438356165,25.367401
2046.5643835616438,25.34478
2046.5671232876712,25.338316
2046.5698630136985,25.324839
2046.572602739726,25.303488
2046.5753424657535,25.264446
2046.5780821917808,25.231535
2046.5808219178082,25.22624
2046.5835616438355,25.205004
2046.5863013698631,25.194868
2046.5890410958905,25.18821
2046.5917808219178,25.167744
2046.5945205479452,25.140553
2046.5972602739726,25.115797
2046.6,25.08816
2046.6027397260275,25.075796
2046.6054794520549,25.069248
2046.6082191780822,25.063526
2046.6109589041096,25.050325
2046.613698630137,25.0477
2046.6164383561643,25.01689
2046.6191780821919,24.991913
2046.6219178082192,24.981436
2046.6246575342466,24.967308
2046.627397260274,24.937473
2046.6301369863013,24.927416
2046.6328767123289,24.92318
2046.6356164383562,24.872635
2046.6383561643836,24.84687
2046.641095890411,24.819874
2046.6438356164383,24.819933
2046.6465753424657,24.809637
2046.6493150684933,24.795982
2046.6520547945206,24.787128
2046.654794520548,24.774584
2046.6575342465753,24.8012
2046.6602739726027,24.84647
2046.66301369863,24.822552
2046.6657534246576,24.8195
2046.668493150685,24.823591
2046.6712328767123,24.809355
2046.6739726027397,24.809557
2046.676712328767,24.83868
2046.6794520547944,24.877098
2046.682191780822,24.83029
2046.6849315068494,24.815876
2046.6876712328767,24.894716
2046.690410958904,24.927767
2046.6931506849314,24.89353
2046.695890410959,24.846344
2046.6986301369864,24.875397
2046.7013698630137,24.867603
2046.704109589041,24.814898
2046.7068493150684,24.831831
2046.7095890410958,24.871927
2046.7123287671234,24.879673
2046.7150684931507,24.882502
2046.717808219178,24.930387
2046.7205479452055,24.933546
2046.7232876712328,24.925995
2046.7260273972602,24.884535
2046.7287671232878,24.935892
2046.731506849315,24.977001
2046.7342465753425,24.91622
2046.7369863013698,24.898207
2046.7397260273972,24.927265
2046.7424657534248,24.976086
2046.7452054794521,25.007402
2046.7479452054795,24.99562
2046.7506849315068,24.981987
2046.7534246575342,25.014523
2046.7561643835616,25.038263
2046.7589041095891,25.050682
2046.7616438356165,25.03104
2046.7643835616439,25.054031
2046.7671232876712,25.078896
2046.7698630136986,25.079945
