# year, O3_TA_anom
1982.9068493150685,19.9375
1982.9095890410958,19.33252
1982.9123287671232,18.85669
1982.9150684931508,18.793701
1982.9178082191781,19.670166
1982.9205479452055,20.258545
1982.9232876712329,19.00708
1982.9260273972602,18.025146
1982.9287671232876,18.425781
1982.9315068493152,19.35376
1982.9342465753425,17.466797
1982.9369863013699,16.985352
1982.9397260273972,17.548096
1982.9424657534246,17.432861
1982.945205479452,16.980713
1982.9479452054795,17.382324
1982.9506849315069,16.882812
1982.9534246575342,16.738037
1982.9561643835616,16.54126
1982.958904109589,17.001465
1982.9616438356165,16.359375
1982.964383561644,15.283447
1982.9671232876713,14.981934
1982.9698630136986,14.995605
1982.972602739726,14.653564
1982.9753424657533,14.502197
1982.978082191781,12.077393
1982.9808219178083,10.683838
1982.9835616438356,10.466064
1982.986301369863,11.452393
1982.9890410958903,12.007568
1982.9917808219177,11.734619
1982.9945205479453,10.515137
1982.9972602739726,11.373047
1983.0,12.726807
1983.0027397260274,13.421387
1983.0054794520547,12.876709
1983.0082191780823,11.780762
1983.0109589041097,11.515625
1983.013698630137,11.39502
1983.0164383561644,11.624512
1983.0191780821917,11.519287
1983.021917808219,11.775879
1983.0246575342467,11.762207
1983.027397260274,11.244385
1983.0301369863014,11.384277
1983.0328767123287,13.012207
1983.035616438356,13.26416
1983.0383561643835,12.8479
1983.041095890411,11.890625
1983.0438356164384,11.756836
1983.0465753424658,10.721191
1983.0493150684931,10.815918
1983.0520547945205,11.196777
1983.054794520548,10.87915
1983.0575342465754,10.480225
1983.0602739726028,10.338623
1983.0630136986301,10.267578
1983.0657534246575,9.780273
1983.0684931506848,6.104004
1983.0712328767124,3.9213867
1983.0739726027398,7.28833
1983.0767123287671,8.458496
1983.0794520547945,9.123291
1983.0821917808219,8.299561
1983.0849315068492,7.695801
1983.0876712328768,7.942627
1983.0904109589042,5.9189453
1983.0931506849315,6.930664
1983.0958904109589,5.4379883
1983.0986301369862,5.340576
1983.1013698630136,-6.319824
1983.1041095890412,-2.3759766
1983.1068493150685,0.20385742
1983.109589041096,2.1557617
1983.1123287671232,2.5898438
1983.1150684931506,2.7805176
1983.1178082191782,2.8017578
1983.1205479452055,1.9919434
1983.123287671233,-2.1142578
1983.1260273972603,-5.895752
1983.1287671232876,-4.2651367
1983.131506849315,-2.5664062
1983.1342465753426,1.0585938
1983.13698630137,1.7451172
1983.1397260273973,2.4545898
1983.1424657534246,3.5297852
1983.145205479452,4.059082
1983.1479452054793,2.769043
