# year, Ztot_c_result_anom
1990.5369863013698,-1.8778765
1990.6219178082192,-2.6528378
1990.704109589041,-4.1106806
1990.7890410958903,-4.0851555
1990.8712328767124,-0.6128578
1990.9561643835616,-1.1262817
1991.041095890411,-0.80608845
1991.1205479452055,-0.70688605
1991.2027397260274,-0.12196827
1991.2849315068493,-0.18165398
1991.3698630136987,-0.47807163
1991.4520547945206,-1.1805834
1991.5369863013698,-1.0755363
1991.6219178082192,0.8527603
1991.704109589041,-0.43034172
1991.7890410958903,-3.1352224
1991.8712328767124,-5.4293137
1991.9561643835616,-2.301363
1992.0409836065573,-1.089118
1992.122950819672,-0.8536043
1992.204918032787,-0.39389992
1992.2868852459017,-0.2542644
1992.3715846994535,0.10156965
1992.4535519125684,1.0428302
1992.5382513661202,1.3382225
1992.622950819672,1.611659
1992.704918032787,0.049829483
1992.7896174863388,-1.7971859
1992.8715846994535,-1.4250889
1992.9562841530055,-0.08818722
1993.041095890411,0.24111462
1993.1205479452055,-0.2238121
1993.2027397260274,-0.14248514
1993.2849315068493,-0.20272517
1993.3698630136987,-0.348211
1993.4520547945206,-0.96076477
1993.5369863013698,-1.934128
1993.6219178082192,-2.6154075
1993.704109589041,-4.4593306
1993.7890410958903,-4.622323
1993.8712328767124,-3.6131163
1993.9561643835616,-4.033483
1994.041095890411,-3.0079942
1994.1205479452055,-1.8033493
1994.2027397260274,-0.4302554
1994.2849315068493,-0.25692707
1994.3698630136987,0.15030634
1994.4520547945206,-0.10946584
1994.5369863013698,-0.81701756
1994.6219178082192,1.0426474
1994.704109589041,1.8687744
1994.7890410958903,0.2935562
1994.8712328767124,-0.2966776
1994.9561643835616,-1.165432
1995.041095890411,-0.22125101
1995.1205479452055,-0.18163157
1995.2027397260274,-0.36355853
1995.2849315068493,-0.32746357
1995.3698630136987,-0.43246663
1995.4520547945206,-1.0063028
1995.5369863013698,-1.3303487
1995.6219178082192,1.5620298
1995.704109589041,0.29336643
1995.7890410958903,-3.3988972
1995.8712328767124,-2.9889517
1995.9561643835616,-0.0476799
1996.0409836065573,-0.587338
1996.122950819672,-0.83513165
1996.204918032787,-0.4502157
1996.2868852459017,-0.20282137
1996.3715846994535,-0.31161213
1996.4535519125684,-1.0257972
1996.5382513661202,-2.910646
1996.622950819672,-4.7506237
1996.704918032787,-5.300804
1996.7896174863388,-9.514302
1996.8715846994535,-6.7705126
1996.9562841530055,-6.0780644
1997.041095890411,-3.9574063
1997.1205479452055,-2.7675622
1997.2027397260274,-1.7320337
1997.2849315068493,-1.0092189
1997.3698630136987,-0.9051381
1997.4520547945206,-2.094046
1997.5369863013698,-4.079745
1997.6219178082192,-6.982839
1997.704109589041,-9.851127
1997.7890410958903,-6.0294247
1997.8712328767124,-2.8499231
1997.9561643835616,-1.9075003
1998.041095890411,-2.228775
1998.1205479452055,-1.8988163
1998.2027397260274,-1.2990408
1998.2849315068493,-0.84142435
1998.3698630136987,-0.80922234
1998.4520547945206,-1.3626041
1998.5369863013698,-1.313762
1998.6219178082192,-1.4162788
1998.704109589041,-1.1935282
1998.7890410958903,-2.476365
1998.8712328767124,-7.6122217
1998.9561643835616,-6.658064
1999.041095890411,-4.309153
