# year, N3_n_anom
2033.2438356164384,-0.00047289953
2033.2465753424658,-0.0005568564
2033.2493150684932,-0.00019924343
2033.2520547945205,-2.3528934e-05
2033.2547945205479,0.00015872717
2033.2575342465752,-0.00038433075
2033.2602739726028,-0.00023183972
2033.2630136986302,0.00016535446
2033.2657534246575,0.0006750189
2033.268493150685,0.00049314275
2033.2712328767122,-0.00010339171
2033.2739726027398,-0.0004893951
2033.2767123287672,-0.0005763024
2033.2794520547945,-0.0006283745
2033.282191780822,-0.00071444735
2033.2849315068493,-0.00053457916
2033.2876712328766,-0.00040347874
2033.2904109589042,-0.00074741617
2033.2931506849316,-0.0009015277
2033.295890410959,-0.0008745119
2033.2986301369863,-0.0006598644
2033.3013698630136,-0.0003679432
2033.304109589041,-0.00047135353
2033.3068493150686,-0.00039353222
2033.309589041096,-0.00035873055
2033.3123287671233,-0.00039457157
2033.3150684931506,0.00017854199
2033.317808219178,0.00029655918
2033.3205479452056,0.00022187084
2033.323287671233,0.00033685938
2033.3260273972603,-0.00012850389
2033.3287671232877,-0.00073579326
2033.331506849315,-0.0008771345
2033.3342465753424,-0.0013582483
2033.33698630137,-0.0020994395
2033.3397260273973,-0.0029435717
2033.3424657534247,-0.0037608705
2033.345205479452,-0.004314922
2033.3479452054794,-0.005355362
2033.3506849315067,-0.006127212
2033.3534246575343,-0.0063693337
2033.3561643835617,-0.00657974
2033.358904109589,-0.006718155
2033.3616438356164,-0.0069031287
2033.3643835616438,-0.0071424134
2033.3671232876711,-0.0075562447
2033.3698630136987,-0.008151516
2033.372602739726,-0.0087630395
2033.3753424657534,-0.009398621
2033.3780821917808,-0.010301206
2033.3808219178081,-0.010919703
2033.3835616438357,-0.0113631245
2033.386301369863,-0.011580527
2033.3890410958904,-0.011905963
2033.3917808219178,-0.011954324
2033.3945205479451,-0.012006817
2033.3972602739725,-0.012090646
2033.4,-0.011949945
2033.4027397260274,-0.011623496
2033.4054794520548,-0.011463162
2033.4082191780822,-0.011545932
2033.4109589041095,-0.01179784
2033.4136986301369,-0.014480079
2033.4164383561645,-0.016072245
2033.4191780821918,-0.019690927
2033.4219178082192,-0.02714515
2033.4246575342465,-0.033696987
2033.427397260274,-0.038212415
2033.4301369863015,-0.040973976
2033.4328767123288,-0.04738963
2033.4356164383562,-0.04897032
2033.4383561643835,-0.04888803
2033.441095890411,-0.04488693
2033.4438356164383,-0.04467097
2033.4465753424658,-0.046540737
2033.4493150684932,-0.04723698
2033.4520547945206,-0.04654505
2033.454794520548,-0.04565819
2033.4575342465753,-0.043836772
2033.4602739726026,-0.04286792
2033.4630136986302,-0.043596663
2033.4657534246576,-0.043173328
2033.468493150685,-0.042995673
2033.4712328767123,-0.04453744
2033.4739726027397,-0.04590963
2033.4767123287672,-0.04916893
2033.4794520547946,-0.051728733
2033.482191780822,-0.053577095
2033.4849315068493,-0.055078544
2033.4876712328767,-0.053950638
2033.490410958904,-0.053190302
2033.4931506849316,-0.05144926
2033.495890410959,-0.049767807
2033.4986301369863,-0.04746165
2033.5013698630137,-0.04615766
2033.504109589041,-0.04562504
2033.5068493150684,-0.044954233
2033.509589041096,-0.04353021
2033.5123287671233,-0.044593766
2033.5150684931507,-0.045605443
2033.517808219178,-0.048306845
2033.5205479452054,-0.05181234
2033.5232876712328,-0.055364475
2033.5260273972603,-0.058684923
2033.5287671232877,-0.059095092
2033.531506849315,-0.059798922
2033.5342465753424,-0.060333733
2033.5369863013698,-0.06079924
2033.5397260273974,-0.062420383
2033.5424657534247,-0.06478452
2033.545205479452,-0.06701623
2033.5479452054794,-0.0700641
2033.5506849315068,-0.07245669
2033.5534246575342,-0.07506901
2033.5561643835617,-0.0778686
2033.558904109589,-0.08031511
2033.5616438356165,-0.08451144
2033.5643835616438,-0.09065972
2033.5671232876712,-0.09423971
2033.5698630136985,-0.0967913
2033.572602739726,-0.099333346
2033.5753424657535,-0.09985561
2033.5780821917808,-0.09854234
