# year, Ptot_c_result
2006.041095890411,5.4741855
2006.1205479452055,3.6393266
2006.2027397260274,2.686019
2006.2849315068493,3.0514057
2006.3698630136987,4.5330896
2006.4520547945206,6.624922
2006.5369863013698,12.052539
2006.6219178082192,14.525333
2006.704109589041,22.460499
2006.7890410958903,24.970774
2006.8712328767124,22.91188
2006.9561643835616,13.813627
2007.041095890411,7.2987113
2007.1205479452055,4.714072
2007.2027397260274,3.5151947
2007.2849315068493,3.0480807
2007.3698630136987,3.636022
2007.4520547945206,8.851548
2007.5369863013698,15.71791
2007.6219178082192,18.720602
2007.704109589041,22.61128
2007.7890410958903,26.245632
2007.8712328767124,21.425074
2007.9561643835616,14.0227585
2008.0409836065573,7.601662
2008.122950819672,4.740705
2008.204918032787,3.3000655
2008.2868852459017,3.0314837
2008.3715846994535,4.1733985
2008.4535519125684,8.158059
2008.5382513661202,11.87616
2008.622950819672,11.800968
2008.704918032787,21.288221
2008.7896174863388,23.069492
2008.8715846994535,15.577561
2008.9562841530055,9.240851
2009.041095890411,6.615691
2009.1205479452055,4.471831
2009.2027397260274,3.1268644
2009.2849315068493,2.5958707
2009.3698630136987,3.9395945
2009.4520547945206,6.5832314
2009.5369863013698,10.852001
2009.6219178082192,18.061344
2009.704109589041,25.319775
2009.7890410958903,24.066591
2009.8712328767124,17.538445
2009.9561643835616,12.022041
2010.041095890411,6.5047126
2010.1205479452055,3.8200088
2010.2027397260274,3.2691426
2010.2849315068493,3.3375616
2010.3698630136987,4.3384013
2010.4520547945206,6.3756123
2010.5369863013698,13.094195
2010.6219178082192,20.677233
2010.704109589041,22.736715
2010.7890410958903,23.674574
2010.8712328767124,15.258556
2010.9561643835616,8.120325
2011.041095890411,5.0420127
2011.1205479452055,3.7153616
2011.2027397260274,2.9934444
2011.2849315068493,3.3955753
2011.3698630136987,4.045073
2011.4520547945206,6.7257934
2011.5369863013698,11.454195
2011.6219178082192,16.895395
2011.704109589041,21.303053
2011.7890410958903,19.979826
2011.8712328767124,12.004667
2011.9561643835616,6.3464184
2012.0409836065573,3.9347591
2012.122950819672,2.703986
2012.204918032787,2.27398
2012.2868852459017,3.1529763
2012.3715846994535,5.150137
2012.4535519125684,6.540318
2012.5382513661202,9.9049635
2012.622950819672,12.516481
2012.704918032787,18.88512
2012.7896174863388,19.88026
2012.8715846994535,13.774168
2012.9562841530055,7.642512
2013.041095890411,4.9487157
2013.1205479452055,3.0570617
2013.2027397260274,2.8680913
2013.2849315068493,3.37339
2013.3698630136987,3.9509897
2013.4520547945206,4.9990606
2013.5369863013698,11.008121
2013.6219178082192,12.699207
2013.704109589041,13.474161
2013.7890410958903,15.257621
2013.8712328767124,13.891178
2013.9561643835616,8.418737
2014.041095890411,5.614007
2014.1205479452055,4.012007
2014.2027397260274,3.2560117
2014.2849315068493,3.7079275
2014.3698630136987,5.453204
2014.4520547945206,5.729886
2014.5369863013698,8.139392
2014.6219178082192,12.649719
2014.704109589041,16.201303
2014.7890410958903,23.724737
2014.8712328767124,20.70513
2014.9561643835616,13.907237
2015.041095890411,8.850372
2015.1205479452055,5.5390577
2015.2027397260274,3.7047977
2015.2849315068493,2.9665804
2015.3698630136987,3.7596612
2015.4520547945206,5.280778
2015.5369863013698,8.557331
2015.6219178082192,11.744362
2015.704109589041,18.47285
2015.7890410958903,16.615993
2015.8712328767124,12.1871195
2015.9561643835616,8.368855
2016.0409836065573,5.274324
2016.122950819672,4.0738354
2016.204918032787,3.6551375
2016.2868852459017,3.6072602
2016.3715846994535,4.906459
2016.4535519125684,5.962996
2016.5382513661202,8.668451
2016.622950819672,14.7769575
2016.704918032787,17.464159
2016.7896174863388,18.299295
2016.8715846994535,14.364206
2016.9562841530055,8.697288
2017.041095890411,5.9766526
2017.1205479452055,4.3193955
2017.2027397260274,2.979716
2017.2849315068493,2.7661397
2017.3698630136987,4.5722055
2017.4520547945206,7.1606827
2017.5369863013698,12.128861
2017.6219178082192,20.187801
2017.704109589041,22.477383
2017.7890410958903,21.91112
2017.8712328767124,13.53714
2017.9561643835616,7.972066
2018.041095890411,5.048235
2018.1205479452055,3.4040823
2018.2027397260274,2.7181246
2018.2849315068493,3.6122193
2018.3698630136987,4.7067714
2018.4520547945206,5.9368844
2018.5369863013698,11.504196
2018.6219178082192,15.438178
2018.704109589041,22.610975
2018.7890410958903,21.541264
2018.8712328767124,9.783695
2018.9561643835616,5.6223464
2019.041095890411,3.9566247
2019.1205479452055,2.791749
2019.2027397260274,2.3733766
2019.2849315068493,3.0581112
2019.3698630136987,4.6104803
2019.4520547945206,7.1067877
2019.5369863013698,10.384458
2019.6219178082192,10.83023
2019.704109589041,13.1531925
2019.7890410958903,13.581775
2019.8712328767124,10.397801
2019.9561643835616,7.424475
2020.0409836065573,5.2908273
2020.122950819672,3.9223793
2020.204918032787,3.1763265
2020.2868852459017,3.8297777
2020.3715846994535,4.707884
2020.4535519125684,5.8367043
2020.5382513661202,9.703953
2020.622950819672,16.306398
2020.704918032787,22.278378
2020.7896174863388,21.544624
2020.8715846994535,14.095299
2020.9562841530055,8.848454
2021.041095890411,5.672968
2021.1205479452055,3.875067
2021.2027397260274,3.2266293
2021.2849315068493,3.8707829
2021.3698630136987,5.333932
2021.4520547945206,5.262965
2021.5369863013698,5.80693
2021.6219178082192,7.864997
2021.704109589041,13.714608
2021.7890410958903,18.634464
2021.8712328767124,12.175242
2021.9561643835616,8.059123
2022.041095890411,5.25812
2022.1205479452055,3.5192695
2022.2027397260274,2.811788
2022.2849315068493,2.7687953
2022.3698630136987,4.3012285
2022.4520547945206,6.3837953
2022.5369863013698,8.803242
2022.6219178082192,11.355954
2022.704109589041,17.777512
2022.7890410958903,22.053064
2022.8712328767124,17.222034
2022.9561643835616,9.377784
2023.041095890411,6.7588563
2023.1205479452055,4.3170867
2023.2027397260274,3.173565
2023.2849315068493,2.7903924
2023.3698630136987,4.2599263
2023.4520547945206,5.5935965
2023.5369863013698,9.844362
2023.6219178082192,16.753414
2023.704109589041,24.328915
2023.7890410958903,18.824938
2023.8712328767124,10.4309845
2023.9561643835616,6.4935536
2024.0409836065573,4.8049583
2024.122950819672,3.5171978
2024.204918032787,3.0264127
2024.2868852459017,3.9801044
2024.3715846994535,5.476905
2024.4535519125684,7.7772093
2024.5382513661202,12.691236
2024.622950819672,16.641521
2024.704918032787,17.208385
2024.7896174863388,16.368984
2024.8715846994535,10.409433
2024.9562841530055,6.3512526
2025.041095890411,4.0877733
2025.1205479452055,3.057609
2025.2027397260274,2.5398095
2025.2849315068493,3.1490934
2025.3698630136987,4.8530316
2025.4520547945206,5.1840653
2025.5369863013698,7.1814494
2025.6219178082192,13.750767
2025.704109589041,20.244345
2025.7890410958903,24.005625
2025.8712328767124,19.782541
2025.9561643835616,11.009063
2026.041095890411,7.9764905
2026.1205479452055,5.28962
2026.2027397260274,3.703615
2026.2849315068493,3.3191335
2026.3698630136987,4.327044
2026.4520547945206,5.567265
2026.5369863013698,7.7479563
2026.6219178082192,14.403266
2026.704109589041,21.847973
2026.7890410958903,19.162876
2026.8712328767124,12.739629
2026.9561643835616,7.6727977
2027.041095890411,4.7410154
2027.1205479452055,3.1513567
2027.2027397260274,2.208374
