# year, O3_TA
1982.545205479452,2448.0886
1982.5479452054794,2448.2273
1982.5506849315068,2448.3662
1982.5534246575342,2448.478
1982.5561643835617,2448.719
1982.558904109589,2448.8853
1982.5616438356165,2449.055
1982.5643835616438,2449.2249
1982.5671232876712,2449.3298
1982.5698630136985,2449.4353
1982.572602739726,2449.6738
1982.5753424657535,2449.811
1982.5780821917808,2449.9424
1982.5808219178082,2450.2703
1982.5835616438355,2450.4907
1982.5863013698631,2450.567
1982.5890410958905,2450.94
1982.5917808219178,2451.1843
1982.5945205479452,2451.2588
1982.5972602739726,2451.308
1982.6,2451.529
1982.6027397260275,2451.7576
1982.6054794520549,2451.9783
1982.6082191780822,2452.3586
1982.6109589041096,2452.66
1982.613698630137,2452.9001
1982.6164383561643,2453.157
1982.6191780821919,2453.2307
1982.6219178082192,2453.181
1982.6246575342466,2453.2844
1982.627397260274,2453.4473
1982.6301369863013,2453.6545
1982.6328767123289,2453.8916
1982.6356164383562,2454.0327
1982.6383561643836,2454.2805
1982.641095890411,2454.4937
1982.6438356164383,2454.4028
1982.6465753424657,2454.367
1982.6493150684933,2454.6387
1982.6520547945206,2454.8079
1982.654794520548,2454.868
1982.6575342465753,2455.0737
1982.6602739726027,2455.1543
1982.66301369863,2455.1797
1982.6657534246576,2455.36
1982.668493150685,2455.5745
1982.6712328767123,2455.6536
1982.6739726027397,2455.793
1982.676712328767,2455.9072
1982.6794520547944,2455.9575
1982.682191780822,2456.1975
1982.6849315068494,2456.3665
1982.6876712328767,2456.5156
1982.690410958904,2456.7112
1982.6931506849314,2456.821
1982.695890410959,2456.8188
1982.6986301369864,2456.9229
1982.7013698630137,2457.1584
1982.704109589041,2457.2715
1982.7068493150684,2457.4158
1982.7095890410958,2457.6648
1982.7123287671234,2457.8027
1982.7150684931507,2457.8481
1982.717808219178,2458.0408
1982.7205479452055,2458.238
1982.7232876712328,2458.2637
1982.7260273972602,2458.3252
1982.7287671232878,2458.6147
1982.731506849315,2458.8396
1982.7342465753425,2458.963
1982.7369863013698,2459.2214
1982.7397260273972,2459.607
1982.7424657534248,2459.7703
1982.7452054794521,2459.914
1982.7479452054795,2460.0269
1982.7506849315068,2460.224
1982.7534246575342,2460.3042
1982.7561643835616,2460.381
1982.7589041095891,2460.6365
1982.7616438356165,2460.8755
1982.7643835616439,2461.0955
1982.7671232876712,2461.306
1982.7698630136986,2461.411
1982.772602739726,2461.7869
1982.7753424657535,2462.138
1982.7780821917809,2462.3818
1982.7808219178082,2462.6782
1982.7835616438356,2462.8682
1982.786301369863,2462.981
1982.7890410958903,2463.2415
1982.7917808219179,2463.3772
1982.7945205479452,2463.5461
1982.7972602739726,2463.654
1982.8,2463.7515
1982.8027397260273,2464.0413
1982.805479452055,2464.2847
1982.8082191780823,2464.3733
1982.8109589041096,2464.5178
1982.813698630137,2464.6592
1982.8164383561643,2464.856
1982.8191780821917,2465.0586
1982.8219178082193,2465.2617
1982.8246575342466,2465.4846
1982.827397260274,2465.6765
1982.8301369863013,2465.991
1982.8328767123287,2466.3972
1982.835616438356,2466.6572
1982.8383561643836,2466.8254
1982.841095890411,2467.02
1982.8438356164384,2467.2559
1982.8465753424657,2467.3682
1982.849315068493,2467.6194
1982.8520547945207,2467.9673
1982.854794520548,2468.0386
1982.8575342465754,2468.1904
1982.8602739726027,2468.4575
1982.86301369863,2468.6328
1982.8657534246574,2468.898
1982.868493150685,2469.1343
1982.8712328767124,2469.3325
1982.8739726027397,2469.477
1982.876712328767,2469.7048
1982.8794520547945,2470.3286
1982.8821917808218,2470.7415
1982.8849315068494,2470.6301
1982.8876712328768,2470.1594
1982.890410958904,2469.9636
1982.8931506849315,2470.23
1982.8958904109588,2470.0303
1982.8986301369864,2469.4194
1982.9013698630138,2469.6833
1982.9041095890411,2470.166
1982.9068493150685,2469.6482
