# year, O3_c
1995.2547945205479,2104.7356
1995.2575342465752,2106.7627
1995.2602739726028,2107.6348
1995.2630136986302,2105.9436
1995.2657534246575,2106.6233
1995.268493150685,2109.1113
1995.2712328767122,2108.5427
1995.2739726027398,2107.9792
1995.2767123287672,2109.7126
1995.2794520547945,2108.3098
1995.282191780822,2106.5005
1995.2849315068493,2107.9534
1995.2876712328766,2104.5928
1995.2904109589042,2108.4026
1995.2931506849316,2111.1016
1995.295890410959,2111.4539
1995.2986301369863,2108.422
1995.3013698630136,2110.925
1995.304109589041,2112.5093
1995.3068493150686,2113.3647
1995.309589041096,2113.1257
1995.3123287671233,2112.4092
1995.3150684931506,2114.3022
1995.317808219178,2114.4275
1995.3205479452056,2113.694
1995.323287671233,2115.5833
1995.3260273972603,2116.4702
1995.3287671232877,2117.4304
1995.331506849315,2117.445
1995.3342465753424,2116.5
1995.33698630137,2118.3474
1995.3397260273973,2118.478
1995.3424657534247,2119.3687
1995.345205479452,2120.073
1995.3479452054794,2120.318
1995.3506849315067,2116.2415
1995.3534246575343,2112.8386
1995.3561643835617,2119.2651
1995.358904109589,2121.071
1995.3616438356164,2121.6143
1995.3643835616438,2122.6248
1995.3671232876711,2123.4717
1995.3698630136987,2123.6929
1995.372602739726,2123.966
1995.3753424657534,2123.1492
1995.3780821917808,2121.8228
1995.3808219178081,2123.945
1995.3835616438357,2125.1196
1995.386301369863,2125.9287
1995.3890410958904,2126.4395
1995.3917808219178,2126.6042
1995.3945205479451,2126.8582
1995.3972602739725,2126.7627
1995.4,2126.961
1995.4027397260274,2128.5422
1995.4054794520548,2129.551
1995.4082191780822,2130.5364
1995.4109589041095,2128.8882
1995.4136986301369,2124.2532
1995.4164383561645,2128.64
1995.4191780821918,2131.2793
1995.4219178082192,2132.4143
1995.4246575342465,2133.254
1995.427397260274,2134.031
1995.4301369863015,2134.8687
1995.4328767123288,2135.8398
1995.4356164383562,2136.4563
1995.4383561643835,2136.9297
1995.441095890411,2137.4065
1995.4438356164383,2137.7368
1995.4465753424658,2138.3765
1995.4493150684932,2139.0576
1995.4520547945206,2139.2988
1995.454794520548,2138.8293
1995.4575342465753,2138.6768
1995.4602739726026,2138.5933
1995.4630136986302,2138.4702
1995.4657534246576,2139.1274
1995.468493150685,2139.3254
1995.4712328767123,2138.8413
1995.4739726027397,2136.6895
1995.4767123287672,2137.0388
1995.4794520547946,2138.2815
1995.482191780822,2138.3105
1995.4849315068493,2138.237
1995.4876712328767,2138.266
1995.490410958904,2138.49
1995.4931506849316,2138.8684
1995.495890410959,2139.4482
1995.4986301369863,2139.6536
1995.5013698630137,2140.0208
1995.504109589041,2140.9104
1995.5068493150684,2141.5613
1995.509589041096,2141.5645
1995.5123287671233,2141.9255
1995.5150684931507,2141.8208
1995.517808219178,2141.9553
1995.5205479452054,2141.9434
1995.5232876712328,2141.962
1995.5260273972603,2142.3586
1995.5287671232877,2142.4487
1995.531506849315,2142.26
1995.5342465753424,2142.5715
1995.5369863013698,2142.7563
1995.5397260273974,2143.4026
1995.5424657534247,2144.3203
1995.545205479452,2144.571
1995.5479452054794,2144.1528
1995.5506849315068,2143.8916
1995.5534246575342,2144.2058
1995.5561643835617,2144.778
1995.558904109589,2144.424
1995.5616438356165,2144.2168
1995.5643835616438,2144.764
1995.5671232876712,2145.0493
1995.5698630136985,2145.0571
1995.572602739726,2145.4253
1995.5753424657535,2145.6104
1995.5780821917808,2145.812
1995.5808219178082,2146.6277
1995.5835616438355,2147.0938
1995.5863013698631,2147.0422
1995.5890410958905,2147.3823
1995.5917808219178,2147.5645
1995.5945205479452,2148.079
1995.5972602739726,2148.4434
1995.6,2148.6536
1995.6027397260275,2149.0955
1995.6054794520549,2149.7417
1995.6082191780822,2150.092
1995.6109589041096,2150.5386
1995.613698630137,2151.2483
1995.6164383561643,2151.5
1995.6191780821919,2151.8157
1995.6219178082192,2152.3994
1995.6246575342466,2152.7673
1995.627397260274,2153.038
1995.6301369863013,2153.6973
1995.6328767123289,2153.868
1995.6356164383562,2153.721
1995.6383561643836,2153.9653
1995.641095890411,2154.0596
1995.6438356164383,2154.2144
1995.6465753424657,2154.0354
1995.6493150684933,2154.107
1995.6520547945206,2154.2976
1995.654794520548,2154.2463
1995.6575342465753,2153.8264
1995.6602739726027,2153.6533
1995.66301369863,2153.8213
1995.6657534246576,2153.4236
1995.668493150685,2153.4604
1995.6712328767123,2153.6602
1995.6739726027397,2153.61
1995.676712328767,2153.519
1995.6794520547944,2153.8765
1995.682191780822,2153.9673
