# year, O3_pH_anom
2003.041095890411,-0.036880493
2003.1205479452055,-0.02662468
2003.2027397260274,-0.024636269
2003.2849315068493,-0.02768898
2003.3698630136987,-0.031834602
2003.4520547945206,-0.031939507
2003.5369863013698,-0.041477203
2003.6219178082192,-0.046308517
2003.704109589041,-0.044174194
2003.7890410958903,-0.042635918
2003.8712328767124,-0.045601845
2003.9561643835616,-0.06158352
2004.0409836065573,-0.06676102
2004.122950819672,-0.06425285
2004.204918032787,-0.068873405
2004.2868852459017,-0.069381714
2004.3715846994535,-0.07337093
2004.4535519125684,-0.06025982
2004.5382513661202,-0.05352974
2004.622950819672,-0.055368423
2004.704918032787,-0.054929733
2004.7896174863388,-0.058856964
2004.8715846994535,-0.065135956
2004.9562841530055,-0.06535339
2005.041095890411,-0.06278992
2005.1205479452055,-0.06542683
2005.2027397260274,-0.07149124
2005.2849315068493,-0.067531586
2005.3698630136987,-0.061032295
2005.4520547945206,-0.06229496
2005.5369863013698,-0.060497284
2005.6219178082192,-0.054965973
2005.704109589041,-0.05238056
2005.7890410958903,-0.05472374
2005.8712328767124,-0.05621338
2005.9561643835616,-0.054398537
2006.041095890411,-0.057457924
2006.1205479452055,-0.054564476
2006.2027397260274,-0.054433823
2006.2849315068493,-0.05026722
2006.3698630136987,-0.055462837
2006.4520547945206,-0.04930687
2006.5369863013698,-0.05216503
2006.6219178082192,-0.053905487
2006.704109589041,-0.05124283
2006.7890410958903,-0.05111313
2006.8712328767124,-0.052384377
2006.9561643835616,-0.047058105
2007.041095890411,-0.04429722
2007.1205479452055,-0.04400444
2007.2027397260274,-0.0393219
2007.2849315068493,-0.040960312
2007.3698630136987,-0.047519684
2007.4520547945206,-0.04547596
2007.5369863013698,-0.04273033
2007.6219178082192,-0.04856968
2007.704109589041,-0.048933983
2007.7890410958903,-0.047121048
2007.8712328767124,-0.046450615
2007.9561643835616,-0.04939556
2008.0409836065573,-0.052096367
2008.122950819672,-0.051859856
2008.204918032787,-0.05006981
2008.2868852459017,-0.05761528
2008.3715846994535,-0.06300831
2008.4535519125684,-0.061457634
2008.5382513661202,-0.059695244
2008.622950819672,-0.061268806
2008.704918032787,-0.054553032
2008.7896174863388,-0.045492172
2008.8715846994535,-0.042048454
2008.9562841530055,-0.04810047
2009.041095890411,-0.04372406
2009.1205479452055,-0.043283463
2009.2027397260274,-0.049323082
2009.2849315068493,-0.059360504
2009.3698630136987,-0.065485954
2009.4520547945206,-0.056468964
2009.5369863013698,-0.055847168
2009.6219178082192,-0.057777405
2009.704109589041,-0.056023598
2009.7890410958903,-0.05077362
2009.8712328767124,-0.055226326
2009.9561643835616,-0.056692123
2010.041095890411,-0.06519699
2010.1205479452055,-0.082595825
2010.2027397260274,-0.08084965
2010.2849315068493,-0.07994461
2010.3698630136987,-0.07695103
2010.4520547945206,-0.06722641
2010.5369863013698,-0.060403824
2010.6219178082192,-0.06048107
2010.704109589041,-0.05523777
2010.7890410958903,-0.050240517
2010.8712328767124,-0.05091381
2010.9561643835616,-0.06463814
2011.041095890411,-0.071930885
2011.1205479452055,-0.07033539
2011.2027397260274,-0.06812382
2011.2849315068493,-0.06318569
2011.3698630136987,-0.07662678
2011.4520547945206,-0.06900787
2011.5369863013698,-0.06417179
2011.6219178082192,-0.06650257
2011.704109589041,-0.06537342
2011.7890410958903,-0.06175518
2011.8712328767124,-0.06789017
2011.9561643835616,-0.085811615
2012.0409836065573,-0.08938885
2012.122950819672,-0.0877676
2012.204918032787,-0.09194565
2012.2868852459017,-0.08925629
2012.3715846994535,-0.08798599
2012.4535519125684,-0.07888889
2012.5382513661202,-0.0785408
2012.622950819672,-0.08139992
2012.704918032787,-0.07486057
2012.7896174863388,-0.070269585
2012.8715846994535,-0.06890297
2012.9562841530055,-0.07428932
2013.041095890411,-0.07629681
2013.1205479452055,-0.08628559
2013.2027397260274,-0.080825806
2013.2849315068493,-0.074546814
2013.3698630136987,-0.07901859
2013.4520547945206,-0.078710556
2013.5369863013698,-0.07780647
2013.6219178082192,-0.07823658
2013.704109589041,-0.07456207
2013.7890410958903,-0.072380066
2013.8712328767124,-0.06994724
2013.9561643835616,-0.07025337
2014.041095890411,-0.07108021
2014.1205479452055,-0.075722694
2014.2027397260274,-0.08286381
2014.2849315068493,-0.080947876
2014.3698630136987,-0.07372093
2014.4520547945206,-0.0728035
2014.5369863013698,-0.07979393
2014.6219178082192,-0.08200741
2014.704109589041,-0.0731287
2014.7890410958903,-0.07171631
2014.8712328767124,-0.06757259
2014.9561643835616,-0.061816216
2015.041095890411,-0.05198288
2015.1205479452055,-0.05333805
2015.2027397260274,-0.05171871
2015.2849315068493,-0.05432415
2015.3698630136987,-0.06508064
2015.4520547945206,-0.071520805
2015.5369863013698,-0.07403278
2015.6219178082192,-0.07984924
2015.704109589041,-0.07808685
2015.7890410958903,-0.07748604
2015.8712328767124,-0.0810051
2015.9561643835616,-0.08740139
2016.0409836065573,-0.091576576
2016.122950819672,-0.0897131
2016.204918032787,-0.08128452
2016.2868852459017,-0.078722954
2016.3715846994535,-0.08395004
2016.4535519125684,-0.08416176
2016.5382513661202,-0.08860874
2016.622950819672,-0.08907986
2016.704918032787,-0.08475971
2016.7896174863388,-0.07955742
2016.8715846994535,-0.07777214
2016.9562841530055,-0.08323765
2017.041095890411,-0.07615185
2017.1205479452055,-0.0692358
2017.2027397260274,-0.07264137
2017.2849315068493,-0.07716179
2017.3698630136987,-0.079092026
2017.4520547945206,-0.073349
2017.5369863013698,-0.07249546
2017.6219178082192,-0.07500267
2017.704109589041,-0.07109547
2017.7890410958903,-0.06871891
2017.8712328767124,-0.071258545
2017.9561643835616,-0.08135033
2018.041095890411,-0.086940765
2018.1205479452055,-0.09118843
2018.2027397260274,-0.098605156
2018.2849315068493,-0.09174538
2018.3698630136987,-0.08401394
2018.4520547945206,-0.08166981
2018.5369863013698,-0.08273506
2018.6219178082192,-0.08267021
2018.704109589041,-0.074487686
2018.7890410958903,-0.0700798
2018.8712328767124,-0.07689285
2018.9561643835616,-0.0980711
2019.041095890411,-0.09685898
2019.1205479452055,-0.1007328
2019.2027397260274,-0.098833084
2019.2849315068493,-0.09887886
2019.3698630136987,-0.104655266
2019.4520547945206,-0.09515858
2019.5369863013698,-0.08366299
2019.6219178082192,-0.08916092
2019.704109589041,-0.08623886
2019.7890410958903,-0.082247734
2019.8712328767124,-0.090065
2019.9561643835616,-0.09355545
2020.0409836065573,-0.092121124
2020.122950819672,-0.094857216
2020.204918032787,-0.09699249
2020.2868852459017,-0.09002209
2020.3715846994535,-0.08689785
2020.4535519125684,-0.08326435
2020.5382513661202,-0.08520317
2020.622950819672,-0.091015816
2020.704918032787,-0.08799362
