# year, O3_pH
2020.704918032787,8.089574
2020.7896174863388,8.094634
2020.8715846994535,8.10093
2020.9562841530055,8.0969715
2021.041095890411,8.076748
2021.1205479452055,8.050172
2021.2027397260274,8.027285
2021.2849315068493,8.018274
2021.3698630136987,8.031705
2021.4520547945206,8.047558
2021.5369863013698,8.056082
2021.6219178082192,8.061686
2021.704109589041,8.070096
2021.7890410958903,8.080602
2021.8712328767124,8.086204
2021.9561643835616,8.086982
2022.041095890411,8.067025
2022.1205479452055,8.041416
2022.2027397260274,8.028028
2022.2849315068493,8.019018
2022.3698630136987,8.028907
2022.4520547945206,8.050865
2022.5369863013698,8.063777
2022.6219178082192,8.0741005
2022.704109589041,8.083686
2022.7890410958903,8.089928
2022.8712328767124,8.097801
2022.9561643835616,8.093696
2023.041095890411,8.083452
2023.1205479452055,8.057642
2023.2027397260274,8.041201
2023.2849315068493,8.031446
2023.3698630136987,8.043919
2023.4520547945206,8.055772
2023.5369863013698,8.069775
2023.6219178082192,8.078033
2023.704109589041,8.089152
2023.7890410958903,8.094227
2023.8712328767124,8.088811
2023.9561643835616,8.076486
2024.0409836065573,8.061309
2024.122950819672,8.039803
2024.204918032787,8.018536
2024.2868852459017,8.013422
2024.3715846994535,8.024333
2024.4535519125684,8.041504
2024.5382513661202,8.066655
2024.622950819672,8.080758
2024.704918032787,8.084107
2024.7896174863388,8.091338
2024.8715846994535,8.0895405
2024.9562841530055,8.079957
2025.041095890411,8.061013
2025.1205479452055,8.042797
2025.2027397260274,8.025071
2025.2849315068493,8.013409
2025.3698630136987,8.030653
2025.4520547945206,8.039951
2025.5369863013698,8.051797
2025.6219178082192,8.065249
2025.704109589041,8.075915
2025.7890410958903,8.080179
2025.8712328767124,8.08993
2025.9561643835616,8.091667
2026.041095890411,8.083174
2026.1205479452055,8.065697
2026.2027397260274,8.045977
2026.2849315068493,8.038537
2026.3698630136987,8.047335
2026.4520547945206,8.055498
2026.5369863013698,8.058681
2026.6219178082192,8.063621
2026.704109589041,8.074084
2026.7890410958903,8.079675
2026.8712328767124,8.079922
2026.9561643835616,8.073481
2027.041095890411,8.054682
2027.1205479452055,8.032108
2027.2027397260274,8.010806
2027.2849315068493,7.9994736
2027.3698630136987,8.007446
2027.4520547945206,8.034111
2027.5369863013698,8.047206
2027.6219178082192,8.052742
2027.704109589041,8.063036
2027.7890410958903,8.073177
2027.8712328767124,8.0807085
2027.9561643835616,8.072421
2028.0409836065573,8.054656
2028.122950819672,8.03215
2028.204918032787,8.009478
2028.2868852459017,8.005112
2028.3715846994535,8.017986
2028.4535519125684,8.033831
2028.5382513661202,8.048355
2028.622950819672,8.057378
2028.704918032787,8.068351
2028.7896174863388,8.0775385
2028.8715846994535,8.082899
2028.9562841530055,8.065387
2029.041095890411,8.042211
2029.1205479452055,8.020767
2029.2027397260274,8.004635
2029.2849315068493,7.995064
2029.3698630136987,8.008274
2029.4520547945206,8.032287
2029.5369863013698,8.046736
2029.6219178082192,8.054628
2029.704109589041,8.061703
2029.7890410958903,8.067607
2029.8712328767124,8.069987
2029.9561643835616,8.070713
2030.041095890411,8.059946
2030.1205479452055,8.036083
2030.2027397260274,8.007069
2030.2849315068493,8.001492
2030.3698630136987,8.01536
2030.4520547945206,8.033082
2030.5369863013698,8.042483
