# year, so_abs
1997.7780821917809,35.753353
1997.7808219178082,35.749065
1997.7835616438356,35.748596
1997.786301369863,35.757904
1997.7890410958903,35.764618
1997.7917808219179,35.759476
1997.7945205479452,35.754402
1997.7972602739726,35.76485
1997.8,35.78265
1997.8027397260273,35.783394
1997.805479452055,35.78453
1997.8082191780823,35.793278
1997.8109589041096,35.797615
1997.813698630137,35.797764
1997.8164383561643,35.802353
1997.8191780821917,35.806824
1997.8219178082193,35.806915
1997.8246575342466,35.807064
1997.827397260274,35.811703
1997.8301369863013,35.815426
1997.8328767123287,35.817497
1997.835616438356,35.81721
1997.8383561643836,35.822342
1997.841095890411,35.82809
1997.8438356164384,35.831028
1997.8465753424657,35.83173
1997.849315068493,35.833294
1997.8520547945207,35.839924
1997.854794520548,35.84334
1997.8575342465754,35.844086
1997.8602739726027,35.84723
1997.86301369863,35.850273
1997.8657534246574,35.855152
1997.868493150685,35.85931
1997.8712328767124,35.863686
1997.8739726027397,35.868916
1997.876712328767,35.870903
1997.8794520547945,35.87419
1997.8821917808218,35.878143
1997.8849315068494,35.87997
1997.8876712328768,35.883778
1997.890410958904,35.88645
1997.8931506849315,35.88637
1997.8958904109588,35.887848
1997.8986301369864,35.89199
1997.9013698630138,35.888927
1997.9041095890411,35.886547
1997.9068493150685,35.889744
1997.9095890410958,35.888718
1997.9123287671232,35.886345
1997.9150684931508,35.88828
1997.9178082191781,35.843197
1997.9205479452055,35.860363
1997.9232876712329,35.87964
1997.9260273972602,35.886383
1997.9287671232876,35.890175
1997.9315068493152,35.88562
1997.9342465753425,35.887302
1997.9369863013699,35.88824
1997.9397260273972,35.870186
1997.9424657534246,35.868675
1997.945205479452,35.87135
1997.9479452054795,35.87586
1997.9506849315069,35.88191
1997.9534246575342,35.872528
1997.9561643835616,35.868244
1997.958904109589,35.867653
1997.9616438356165,35.857315
1997.964383561644,35.843327
1997.9671232876713,35.84366
1997.9698630136986,35.850464
1997.972602739726,35.84653
1997.9753424657533,35.838543
1997.978082191781,35.83914
1997.9808219178083,35.839947
1997.9835616438356,35.839657
1997.986301369863,35.831337
1997.9890410958903,35.823006
1997.9917808219177,35.826733
1997.9945205479453,35.831192
1997.9972602739726,35.82802
1998.0,35.830704
1998.0027397260274,35.8365
1998.0054794520547,35.841393
1998.0082191780823,35.837513
1998.0109589041097,35.839638
1998.013698630137,35.843933
1998.0164383561644,35.853546
1998.0191780821917,35.855732
1998.021917808219,35.862576
1998.0246575342467,35.872658
1998.027397260274,35.875324
1998.0301369863014,35.8715
1998.0328767123287,35.875168
1998.035616438356,35.879097
1998.0383561643835,35.877552
1998.041095890411,35.870907
1998.0438356164384,35.852573
1998.0465753424658,35.82563
1998.0493150684931,35.838017
1998.0520547945205,35.829407
1998.054794520548,35.818058
1998.0575342465754,35.82253
1998.0602739726028,35.833492
1998.0630136986301,35.84391
1998.0657534246575,35.84905
1998.0684931506848,35.838943
1998.0712328767124,35.787018
1998.0739726027398,35.777515
1998.0767123287671,35.805527
1998.0794520547945,35.800896
1998.0821917808219,35.78341
1998.0849315068492,35.779057
1998.0876712328768,35.768497
1998.0904109589042,35.688435
1998.0931506849315,35.689617
1998.0958904109589,35.772938
1998.0986301369862,35.80322
1998.1013698630136,35.803078
1998.1041095890412,35.802715
1998.1068493150685,35.82405
1998.109589041096,35.818047
1998.1123287671232,35.802265
1998.1150684931506,35.80341
1998.1178082191782,35.815285
1998.1205479452055,35.836266
1998.123287671233,35.845592
1998.1260273972603,35.845486
1998.1287671232876,35.841003
1998.131506849315,35.840366
1998.1342465753426,35.85276
1998.13698630137,35.85449
1998.1397260273973,35.84064
1998.1424657534246,35.848278
1998.145205479452,35.84998
1998.1479452054793,35.85358
1998.150684931507,35.8128
1998.1534246575343,35.824764
1998.1561643835616,35.851795
1998.158904109589,35.85177
1998.1616438356164,35.84196
