# year, Ptot_NPP_result
2013.8712328767124,19.403688
2013.9561643835616,12.738511
2014.041095890411,8.932345
2014.1205479452055,5.933516
2014.2027397260274,4.5899687
2014.2849315068493,4.5806894
2014.3698630136987,7.3793955
2014.4520547945206,7.9939957
2014.5369863013698,11.52805
2014.6219178082192,17.419655
2014.704109589041,21.32078
2014.7890410958903,26.092611
2014.8712328767124,25.394176
2014.9561643835616,18.710022
2015.041095890411,12.502849
2015.1205479452055,8.175796
2015.2027397260274,5.4462967
2015.2849315068493,4.0974627
2015.3698630136987,5.1805477
2015.4520547945206,7.480169
2015.5369863013698,11.909973
2015.6219178082192,15.525437
2015.704109589041,21.522451
2015.7890410958903,20.383133
2015.8712328767124,17.013037
2015.9561643835616,12.367526
2016.0409836065573,7.5826054
2016.122950819672,6.019672
2016.204918032787,5.578288
2016.2868852459017,4.716682
2016.3715846994535,6.6506157
2016.4535519125684,8.347872
2016.5382513661202,12.329764
2016.622950819672,19.662151
2016.704918032787,23.37882
2016.7896174863388,24.839386
2016.8715846994535,20.797619
2016.9562841530055,12.994942
2017.041095890411,9.326558
2017.1205479452055,6.5003824
2017.2027397260274,4.379924
2017.2849315068493,3.5744255
2017.3698630136987,5.8563576
2017.4520547945206,9.790071
2017.5369863013698,15.632929
2017.6219178082192,25.759789
2017.704109589041,28.463215
2017.7890410958903,28.374931
2017.8712328767124,19.821074
2017.9561643835616,12.053013
2018.041095890411,7.856136
2018.1205479452055,4.91391
2018.2027397260274,3.8460436
2018.2849315068493,4.9489484
2018.3698630136987,6.214705
2018.4520547945206,8.024646
2018.5369863013698,15.309102
2018.6219178082192,20.548069
2018.704109589041,28.499447
2018.7890410958903,27.201105
2018.8712328767124,14.495094
2018.9561643835616,8.501937
2019.041095890411,5.876048
2019.1205479452055,3.99391
2019.2027397260274,3.3351047
2019.2849315068493,4.119747
2019.3698630136987,6.1649714
2019.4520547945206,9.267296
2019.5369863013698,14.043193
2019.6219178082192,15.16566
2019.704109589041,18.250917
2019.7890410958903,19.336233
2019.8712328767124,15.33733
2019.9561643835616,11.233511
2020.0409836065573,8.243501
2020.122950819672,5.8503737
2020.204918032787,4.481385
2020.2868852459017,5.2470407
2020.3715846994535,6.7549486
2020.4535519125684,8.361007
2020.5382513661202,13.141975
2020.622950819672,19.6607
2020.704918032787,25.34911
2020.7896174863388,25.483255
2020.8715846994535,19.206638
2020.9562841530055,12.6805105
2021.041095890411,8.314618
2021.1205479452055,5.597743
2021.2027397260274,4.4534907
2021.2849315068493,5.2449164
2021.3698630136987,7.0907154
2021.4520547945206,7.2005363
2021.5369863013698,8.467555
2021.6219178082192,11.698583
2021.704109589041,19.200445
2021.7890410958903,25.05388
2021.8712328767124,17.88608
2021.9561643835616,12.335387
2022.041095890411,7.8696485
2022.1205479452055,5.1362658
2022.2027397260274,4.013652
2022.2849315068493,3.8176467
2022.3698630136987,5.788728
2022.4520547945206,8.652748
2022.5369863013698,12.558381
2022.6219178082192,16.092878
2022.704109589041,24.263826
2022.7890410958903,28.940626
2022.8712328767124,23.859509
2022.9561643835616,14.122054
2023.041095890411,10.22677
2023.1205479452055,6.3986344
2023.2027397260274,4.711535
2023.2849315068493,3.6915781
2023.3698630136987,5.6628175
2023.4520547945206,7.9107656
2023.5369863013698,13.745689
2023.6219178082192,21.552849
2023.704109589041,30.165236
2023.7890410958903,24.24754
2023.8712328767124,15.505012
2023.9561643835616,9.885085
2024.0409836065573,6.952283
2024.122950819672,5.3058968
2024.204918032787,4.2823625
2024.2868852459017,5.380196
2024.3715846994535,6.5906405
2024.4535519125684,9.758059
2024.5382513661202,17.246199
2024.622950819672,22.273518
2024.704918032787,23.423847
2024.7896174863388,23.107428
2024.8715846994535,15.66125
2024.9562841530055,9.595292
2025.041095890411,6.1963115
2025.1205479452055,4.551895
2025.2027397260274,3.683031
2025.2849315068493,4.222855
2025.3698630136987,6.0314198
2025.4520547945206,7.251732
2025.5369863013698,10.369995
2025.6219178082192,19.35196
2025.704109589041,28.54624
2025.7890410958903,30.72967
2025.8712328767124,26.162159
2025.9561643835616,16.559223
2026.041095890411,12.451904
2026.1205479452055,7.67631
2026.2027397260274,5.393336
2026.2849315068493,4.28274
2026.3698630136987,5.950471
2026.4520547945206,8.019931
2026.5369863013698,10.79312
